Y,X1,X2,X3,X4
18,12.39,17.43,0.52,117.62
1,8.49,14.15,0.52,106.45
41,9.83,15.13,0.57,149.61
53,12.39,17.9,0.54,123.93
3,8.58,14.03,0.53,117.65
24,10.66,16.17,0.55,131.58
26,11.18,16.55,0.54,125.56
0,8.47,13.75,0.53,122.64
4,9.78,15.03,0.54,127.06
4,10.85,16.12,0.52,112.38
8,11.11,16.31,0.53,121.27
0,9.18,14.88,0.53,111.07
12,9.77,15,0.55,139.21
30,10.09,15.47,0.56,144.64
2,7.77,13.3,0.54,126.4
5,9.74,15.19,0.54,123.61
15,10.03,15.46,0.55,135.28
28,11.16,16.44,0.55,136.21
1,8.91,14.02,0.52,122.04
0,8.58,14.04,0.53,112.62
6,10.06,15.38,0.54,126.16
1,8.7,14.07,0.53,121.27
0,7.51,13.36,0.54,121.79
9,10.39,15.85,0.54,125.98
4,10.99,16.22,0.52,108.85
17,10.27,15.52,0.55,136.05
1,10.02,15.64,0.51,97.45
6,10.66,15.82,0.54,129.94
13,10.42,15.48,0.55,137.11
3,8.16,13.79,0.55,131.98
4,7.78,13.36,0.56,139.81
33,10.53,15.83,0.56,144.74
2,7.89,13.21,0.55,137.69
16,10.69,16.18,0.54,127.07
18,10.18,15.5,0.55,135.66
1,7.9,13.48,0.52,108.93
6,10.23,15.34,0.54,128.9
1,10.06,15.36,0.52,111.13
1,8.56,14.16,0.53,117.9
5,7.74,13.45,0.55,131.5
8,10.06,15.38,0.54,125.97
9,10.9,16.23,0.53,120.29
2,10.03,14.95,0.51,110.89
4,11.06,16.5,0.52,106.44
26,10.52,15.76,0.56,144.57
404,12.28,17.53,0.57,155.71
7,10.22,15.78,0.53,112.65
2,7.47,12.62,0.52,119.97
0,9.32,14.73,0.52,109.57
2,8.59,13.91,0.53,124.46
87,12.08,17.17,0.55,140.29
6,11.11,16.27,0.52,114.15
4,7.97,13.4,0.55,140.9
1,8.85,14.11,0.53,118.37
4,9.49,14.62,0.54,132.04
2,9.41,15.06,0.52,101.86
10,8.98,14.32,0.55,141.84
1,9.17,14.87,0.51,94.14
1,9.67,15.36,0.53,115.73
6,9.63,14.98,0.54,125.89
1,9.16,14.34,0.54,129.12
15,9.21,14.36,0.57,154.07
1,7.46,12.63,0.55,143.61
0,8.04,13.46,0.53,121.33
9,8.87,14.19,0.56,147.4
0,8.74,14.84,0.51,86.97
29,10.75,15.85,0.54,136.39
4,8.57,14.11,0.56,136.79
1,9.42,14.88,0.52,105.78
20,10.76,16.28,0.55,128.15
118,12.18,16.96,0.55,147.36
1,9.82,15.21,0.53,116.98
4,9.46,14.62,0.55,139.07
0,8.37,13.42,0.54,132.05
2,9.35,14.31,0.52,123.9
4,10.28,15.6,0.53,122.6
2,9.15,14.98,0.52,99.82
5,8.48,14.08,0.55,131.42
1,11.78,17.24,0.5,87.34
2,10.12,15.42,0.52,113.44
1,8.34,14.33,0.53,102.17
6,10.57,15.91,0.53,118.3
1,8.5,14.12,0.53,112.09
15,10.73,15.97,0.54,131.08
3,8.28,13.72,0.55,133.94
1,8.56,13.71,0.52,118.57
6,8.65,14.29,0.55,131.59
9,9.79,15.21,0.55,130.42
2,8.03,13.4,0.55,135.13
0,9.04,14.34,0.51,100.18
0,9.89,15.34,0.5,94.26
3,10.5,15.88,0.53,116.07
115,12.19,16.93,0.55,148.56
4,10.23,15.72,0.53,119.18
15,10.31,15.79,0.54,127.62
6,7.87,13.34,0.57,149.34
10,9.32,14.19,0.54,138.5
1,8.35,13.66,0.53,123.23
1,8.52,14.06,0.53,112.88
2,10.4,15.59,0.52,114.12
